Timestamp,gender,age,siblings,studentType,university/campus,future_ambition,maths,English,Science,Languages_Sinhala_Tamil,ICT_isStudied,aL_Stream,Combined_mathematics,Physics,Chemistry,information_technology,Biology,Agricultural_science,Languages,Engineering_Technology,Bio_System_Technology,Educational_Medium,sport_ university?,sport_school,likeToCode,Currently_staying_at,attendance_for_lectures,health,range_of_online_courses,Overall,degree_programme
31/01/2020 06:45:20,Female,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,B,C,C,,,,,,,Sinhala,Chess,,Yes,Home,4,Very good,Udemy,4,Software Enginnering
31/01/2020 07:43:30,Female,Between 18 to 25,Two,Part time student,IIT,Mobile Application Developer,B,C,B,A,Yes,Biological Science,S,C,S,,,,,,,Engllish,Football,Badminton,Yes,Home,3,Very good,Coursera,4,Software Enginnering
31/01/2020 07:47:46,Male,Above 25,Three,Full time student,NSBM,Mobile Application Developer,C,B,B,C,No,Mathematics/ Physical Science,B,B,B,,,,,,,Sinhala,None,Chess,Yes,Hostel,4,Good,Not done,5,Computer Science
31/01/2020 07:51:36,Male,Between 18 to 25,One,scholarship,ICBT,UI/UX Engineer,A,A,A,A,Yes,Biological Science,A,B,B,,,,,,,Tamil,Badminton,Football,Yes,Hostel,3,Good,Udemy,5,Computer Science
31/01/2020 07:58:17,Male,Between 18 to 25,Three,Part time student,NSBM,Quality Assurance Engineer,A,A,B,C,Yes,Biological Science,,B,S,,C,,,,,Sinhala,None,Swimming,Yes,Home,4,Good,Coursera,3,Computer Science
31/01/2020 08:03:36,Male,Between 18 to 25,Two,Full time student,IIT,IT Consultant,B,A,B,C,Yes,Biological Science,None,S,S,A,S,None,None,None,None,Engllish,Badminton,Badminton,Yes,Home,2,Good,Udemy,2,Software Enginnering
31/01/2020 08:09:41,Male,Between 18 to 25,Two,Full time student,NSBM,UI/UX Engineer,B,C,B,A,Yes,Arts,None,None,None,None,None,None,B,None,None,Engllish,"Swimming, Chess",Chess,No,Home,3,Good,Not done,2,Computer Science
31/01/2020 08:19:27,Female,Between 18 to 25,None,Part time student,IIT,Mobile Application Developer,A,A,A,A,Yes,Mathematics/ Physical Science,C,C,C,,,,,,,Sinhala,None,Atheletic,Yes,Hostel,5,Very good,You tube channels,3,Software Enginnering
31/01/2020 08:24:09,Male,Between 18 to 25,One,Part time student,IIT,Machine Learning Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,B,B,B,,,,,,,Sinhala,None,Cricket,Yes,Home,4,Good,Udemy,3,Software Enginnering
31/01/2020 08:29:16,Male,Between 18 to 25,None,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Biological Science,,A,C,,B,,,,,Sinhala,None,Cricket,Yes,Home,3,Fair,Coursera,2,Software Enginnering
31/01/2020 08:34:09,Male,Between 18 to 25,Two,scholarship,IIT,Computer Game Developer,A,A,A,A,No,Mathematics/ Physical Science,S,C,S,None,None,None,None,None,None,Sinhala,,,Yes,Home,3,Good,You tube channels,4,Software Enginnering
31/01/2020 08:34:20,Male,Between 18 to 25,Two,Full time student,SLIIT,UI/UX Engineer,A,C,C,C,Yes,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,Football,Football,No,Home,3,Good,CCNA,4,Computer Science
31/01/2020 08:35:08,Male,Between 18 to 25,Two,Full time student,University of Peradeniya.,Artist and Development.,A,A,A,A,No,Mathematics/ Physical Science,B,C,B,,,,,,,Engllish,None,Cricket,No,Home,3,Good,You tube channels,3,Physical Science 
31/01/2020 08:43:57,Male,Between 18 to 25,Two,Part time student,IIT,Business Analyst,B,C,C,C,No,Commerce,None,None,None,None,None,None,None,None,None,Sinhala,Cricket,Cricket,No,Home,4,Excellent,Not done,4,Business Management
31/01/2020 09:07:15,Female,Between 18 to 25,Three,Part time student,ICBT,Mobile Application Developer,S,C,C,A,No,Technology stream,None,None,None,S,None,None,None,C,None,Sinhala,None,Badminton,No,Hostel,3,Good,You tube channels,3,Computer Science
31/01/2020 09:15:25,Male,Between 18 to 25,Two,Full time student,IIT,Database Administrator,A,A,A,A,Yes,Mathematics/ Physical Science,C,S,S,,,,,,,Sinhala,,Swimming,No,Boarding house,4,Good,Udemy,3,Software Enginnering
